,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia ,alcaldía,latitud,longitud
16202,2023,Febrero,2023-02-02,10:00:00,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,Masculino,58,FISICA,CENTRO,CUAUHTEMOC,19.4319316173709,-99.1325810599669
16203,2023,Abril,2023-04-17,10:36:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,34,FISICA,SANTA MARIA LA RIBERA,CUAUHTEMOC,19.4463214211561,-99.1642565995885
16204,2023,Abril,2023-04-17,06:10:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,51,FISICA,DOCTORES,CUAUHTEMOC,19.4249542166257,-99.1430443502842
16205,2023,Abril,2023-04-19,05:41:00,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,Femenino,36,FISICA,CENTRO,CUAUHTEMOC,19.4372294067694,-99.1466917102837
16206,2023,Abril,2023-04-18,08:30:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,30,FISICA,ROMA NORTE,CUAUHTEMOC,19.4168396584049,-99.1554026296371
16207,2023,Abril,2023-04-19,23:15:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,Masculino,35,FISICA,GUERRERO,CUAUHTEMOC,19.437908016975,-99.1485858696003
16208,2023,Abril,2023-04-19,10:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,26,FISICA,ROMA NORTE,CUAUHTEMOC,19.4206438399247,-99.1721999603621
16209,2023,Abril,2023-04-21,07:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,25,FISICA,CENTRO,CUAUHTEMOC,19.4380086133359,-99.1292676298103
16210,2023,Abril,2023-04-19,08:54:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,43,FISICA,HIPÓDROMO,CUAUHTEMOC,19.4108879827201,-99.1717493501324
16211,2023,Marzo,2023-03-27,11:00:00,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Femenino,61,FISICA,CENTRO,CUAUHTEMOC,19.4415595758377,-99.1372208301972
16212,2023,Abril,2023-04-18,07:45:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,31,FISICA,HIPÓDROMO,CUAUHTEMOC,19.4105009305765,-99.1730877797463
16213,2023,Abril,2023-04-20,10:30:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,31,FISICA,ROMA NORTE,CUAUHTEMOC,19.4120772828313,-99.1644347896195
16214,2023,Abril,2023-04-21,12:30:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,Masculino,28,FISICA,CENTRO,CUAUHTEMOC,19.4288941280469,-99.1400436298327
16215,2023,Abril,2023-04-19,10:30:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,29,FISICA,ROMA SUR,CUAUHTEMOC,19.4082353888417,-99.1618727002879
